timestamp,id0_camera_x_mm,id0_camera_y_mm,id0_camera_z_mm,id0_roll_deg,id1_du_px,id1_dv_px,id1_droll_deg
2026-07-19 12:26:18,-136.476,-40.981,411.904,0.000,-2.500,-24.500,-0.746,-7.317,7.355,0.359
2026-07-19 12:26:35,-54.728,-40.946,413.838,0.000,-0.750,-14.000,-0.221,-4.128,4.134,0.363
2026-07-19 12:26:49,59.560,-40.924,413.982,0.000,-1.250,3.250,-0.368,0.956,1.024,0.030
2026-07-19 12:27:07,145.070,-40.538,401.871,0.000,-2.750,18.000,-0.825,5.404,5.467,0.014
2026-07-19 12:29:42,-133.562,-31.439,399.093,-36.027,-11.750,-24.500,-3.576,-7.458,8.271,0.700
2026-07-19 12:30:14,-9.587,-31.045,413.705,-35.628,-6.750,-11.500,-2.002,-3.411,3.955,0.022
2026-07-19 12:30:45,93.322,-30.947,412.377,-35.087,-0.500,-0.500,-0.149,-0.149,0.210,-0.317
2026-07-19 12:31:16,114.547,-30.788,400.579,-35.146,1.500,3.000,0.449,0.899,1.005,-0.335
2026-07-19 12:32:21,-142.889,-25.967,411.077,28.275,6.500,-16.500,1.940,-4.927,5.295,0.700
2026-07-19 12:32:41,-26.517,-25.075,414.536,28.301,-1.250,-6.750,-0.366,-1.979,2.012,0.363
2026-07-19 12:33:10,62.435,-25.555,412.105,28.301,-12.000,9.250,-3.580,2.760,4.521,0.700
2026-07-19 12:34:17,62.284,-25.590,411.400,28.301,-12.250,9.500,-3.666,2.844,4.639,0.700
2026-07-19 12:36:09,85.224,-25.282,389.757,28.376,-14.750,11.750,-4.470,3.561,5.715,0.700
2026-07-19 12:36:33,67.947,-25.357,413.571,28.301,-11.250,10.250,-3.348,3.051,4.530,0.700
2026-07-19 12:48:27,70.247,-27.255,414.604,29.505,-13.000,10.750,-3.856,3.189,5.003,0.700
2026-07-19 12:48:46,117.086,-33.344,412.957,-20.735,2.000,5.750,0.593,1.706,1.806,0.022
2026-07-19 12:49:02,117.340,-16.469,413.220,-46.637,1.750,1.500,0.521,0.446,0.686,-0.323
2026-07-19 12:49:17,111.595,-14.883,412.550,-52.975,1.500,0.000,0.449,0.000,0.449,-0.329
