index,x_mm,y_mm,z_mm,roll_rad,pitch_rad,yaw_rad,roll_deg,pitch_deg,yaw_deg
6,-62.254654,-60.899998,0.203729,3.084375,-0.148847,-0.58374,176.7216699356633,-8.528304893183766,-33.44583833296668
7,-62.954288,-61.093758,1.608058,-3.078785,-0.145694,-0.286386,-176.40138652818516,-8.347651300379015,-16.40870911163359
8,-60.286655,-57.334801,-1.610186,3.012621,-0.750081,-0.442765,172.61046857248158,-42.976475592952305,-25.368565816109896
9,-62.999615,-60.826473,-0.802023,3.083775,-0.748042,-0.6821,176.68729246795544,-42.85964949852512,-39.081451205873456
10,-63.467285,-60.363819,1.441144,3.096322,-0.564015,-1.022694,177.40618261350608,-32.31567908207113,-58.59604993335221
11,-59.944756,-60.647606,-0.986029,-3.108335,-0.696368,-1.34454,-178.09447681279673,-39.89894738796611,-77.0364673865197
12,-59.309113,-62.01268,-0.559404,-3.020926,-0.710617,-1.953782,-173.0863100213377,-40.71535495024803,-111.943462688629
13,-59.381096,-63.534462,-1.152586,-2.93389,-0.679989,-2.529692,-168.09951455563709,-38.960499815321334,-144.94067506800823
14,-64.956459,-60.96986,-4.519874,3.079886,-0.751202,2.956231,176.46446918142908,-43.04070416178647,169.37955956573884
15,-61.374104,-63.704231,-0.650032,-3.002094,-0.732437,2.615886,-172.00731590154737,-41.965548859223475,149.87922748735886
16,-61.164944,-64.925377,-9.400944,-2.778847,0.286793,-2.453209,-159.21620501259025,16.43202849389542,-140.55852196350918
17,-64.328873,-62.763233,-8.831953,-3.075334,0.121666,-2.516918,-176.2036587930855,6.970948310238674,-144.20877878050814
18,-59.202332,-64.308617,-3.831013,-2.451662,0.166873,-1.825975,-140.46988539260244,9.561118614686587,-104.62066099640049
19,-67.5252,-64.71106,-6.560541,2.591449,-0.136727,-1.363044,148.47909052339767,-7.8338800454852064,-78.09666849062978
20,-60.999935,-61.440952,-0.052877,-2.445581,-0.238531,-1.106146,-140.12146975738338,-13.66681958303504,-63.377497325277965
21,-66.755882,-62.668758,-1.834201,-2.855899,-0.510713,-0.691728,-163.6309594156323,-29.26169944246481,-39.63309497102541
22,-67.397957,-63.613857,-2.02158,-3.047179,-0.785659,-0.363985,-174.59049612089467,-45.01494483646874,-20.85480430606927
23,-68.570267,-59.609882,-2.093187,-2.785145,-1.139282,-1.633862,-159.57705383196367,-65.27605027522345,-93.6133969068037
24,-64.537048,-64.861412,-1.810463,-2.576139,-0.192635,-2.867673,-147.60189213905238,-11.037172486502614,-164.3055599236193
25,-62.050419,-65.608559,0.753158,-2.292295,-0.153344,-2.115306,-131.33882889894105,-8.785964013654096,-121.19810617870012
1,-302.858307,-198.019073,-19.588785,-2.75732,0.107914,-2.784904,-157.98279876701216,6.183016750374765,-159.56324554910103
2,-134.697205,-396.670135,35.244667,-2.276947,-0.04366,-2.071812,-130.45945327497424,-2.5015337335411743,-118.70608354455811
3,6.102209,-444.03244,56.01403,-2.08229,-0.096702,-1.681131,-119.30642872229619,-5.540616470474086,-96.3217111086076
4,149.942841,-442.541656,14.283459,-2.326623,0.013705,-1.325999,-133.30567841806615,0.7852386582267933,-75.97414633856765
5,440.674927,23.092161,26.995766,-2.897792,-0.021775,0.212674,-166.03125150677386,-1.2476155988973676,12.18532261216527
6,337.640198,192.251266,98.876244,-2.771913,-0.204694,0.746576,-158.81891607744657,-11.728102291650872,42.77565388575895
7,424.698486,-199.026413,44.891289,-3.07861,-0.070677,-0.371252,-176.39135976677036,-4.04949380864612,-21.27117273579084
8,97.549019,-451.994812,15.101249,-3.085183,-0.000562,-1.492185,-176.76796492550986,-0.03220022808635226,-85.49590275272875
9,-90.331505,-423.0625,-25.201063,3.139134,0.101409,-1.988613,179.85912952602015,5.810307704642165,-113.93913198484917
10,-218.391632,-327.163422,-73.422157,3.112394,0.225942,-2.406784,178.32704038184036,12.945523014744847,-137.89856539961434
11,-210.998138,-303.915253,-144.852448,-2.807667,0.427057,-2.42754,-160.8674693781573,24.4685637115184,-139.08779659918787
12,-292.0448,-157.797272,-136.54248,3.115644,0.397694,-2.907171,178.51325166525785,22.78618773767576,-166.56862862282705
13,-169.878082,-333.025696,-162.992065,-2.617891,0.479317,-2.277184,-149.9941055252826,27.46284114887208,-130.47303237471885
14,-1.455988,-419.883881,-148.086151,-2.524146,0.434029,-1.742581,-144.62291267482868,24.868029886283608,-99.84253675968651
