timestamp,sample_id,sample_type,position_index,orientation_index,offset_x_mm,offset_y_mm,offset_z_mm,offset_roll_deg,offset_pitch_deg,offset_yaw_deg,tcp_x_mm,tcp_y_mm,tcp_z_mm,tcp_roll_deg,tcp_pitch_deg,tcp_yaw_deg,marker_base_x_mm,marker_base_y_mm,marker_base_z_mm,marker_base_roll_deg,marker_base_pitch_deg,marker_base_yaw_deg,mean_reprojection_error_px,max_reprojection_error_px,used_corner_count,detected_corner_count,averaged_frames,T_base_tcp_00,T_base_tcp_01,T_base_tcp_02,T_base_tcp_03,T_base_tcp_10,T_base_tcp_11,T_base_tcp_12,T_base_tcp_13,T_base_tcp_20,T_base_tcp_21,T_base_tcp_22,T_base_tcp_23,T_base_tcp_30,T_base_tcp_31,T_base_tcp_32,T_base_tcp_33,T_cam_board_m_00,T_cam_board_m_01,T_cam_board_m_02,T_cam_board_m_03,T_cam_board_m_10,T_cam_board_m_11,T_cam_board_m_12,T_cam_board_m_13,T_cam_board_m_20,T_cam_board_m_21,T_cam_board_m_22,T_cam_board_m_23,T_cam_board_m_30,T_cam_board_m_31,T_cam_board_m_32,T_cam_board_m_33,T_base_board_mm_00,T_base_board_mm_01,T_base_board_mm_02,T_base_board_mm_03,T_base_board_mm_10,T_base_board_mm_11,T_base_board_mm_12,T_base_board_mm_13,T_base_board_mm_20,T_base_board_mm_21,T_base_board_mm_22,T_base_board_mm_23,T_base_board_mm_30,T_base_board_mm_31,T_base_board_mm_32,T_base_board_mm_33
2026-07-15T11:22:50.116,0,reference,0,0,0.0,0.0,0.0,0.0,0.0,0.0,263.461731,-512.499939,52.82386,-177.12084963153094,0.2887134329664218,179.89683014893976,713.288012073801,-558.5766566875803,200.84411895369809,-141.91854050392618,86.4857354295433,-138.97087193716797,0.29524754907470274,0.5370578375371114,24,24,10,-0.9999856831107086,0.0020514846652901317,0.004942163926629921,263.461731,0.0018006297561282865,0.9987356266777874,-0.05023848860195641,-512.499939,-0.005038978675381354,-0.05022887033565098,-0.9987250218547212,52.82386,0.0,0.0,0.0,1.0,0.009852443703560147,0.9984455356624934,0.054858378290871944,-0.0470305381913283,-0.9986399530163683,0.012633582067685428,-0.0505829698970303,0.04129359648253718,-0.051197398298477935,-0.05428540245568114,0.9972120744794918,0.6306486789980595,0.0,0.0,0.0,1.0,-0.04624101082233206,-0.05229876678560408,0.9975603279555749,713.288012073801,-0.04023798780167574,0.9979155677432137,0.050452195129757675,-558.5766566875803,-0.9981195686168071,-0.037806859806707116,-0.04824902170774906,200.84411895369809,0.0,0.0,0.0,1.0
2026-07-15T11:23:00.126,1,random,1,1,-51.975697187942494,-30.00122808975842,24.485335380394346,3.3855839688601677,2.2032824546275833,14.30030826869939,211.484848,-542.491394,77.346046,-173.7071670881415,2.4767246610120095,-165.79920359974588,705.6263622505464,-557.5336453910531,202.4716668906432,-122.04387874390531,87.2344014757993,-120.22649620804694,0.26103585067380314,0.7039008025977743,20,20,10,-0.9685363443302321,-0.23925083023577745,0.06853021189899718,211.484848,-0.2450916966120641,0.9647627319831065,-0.09572320109729285,-542.491394,-0.0432135391197041,-0.10950758516186915,-0.9930461614792969,77.346046,0.0,0.0,0.0,1.0,0.07497041165271086,0.9756397007454153,-0.20617131639978636,-0.1409381756712304,-0.994215655912922,0.05718644832549323,-0.0909117135772618,-0.013047997606376344,-0.07690687169727724,0.21179443915578458,0.9742835565832082,0.660314405792966,0.0,0.0,0.0,1.0,-0.024290024025571063,-0.03221099598640798,0.9991858918491602,705.6263622505464,-0.041690081666474,0.9986439514411203,0.031180047156947364,-557.5336453910531,-0.9988352876342929,-0.04089877733661946,-0.02559996462672759,202.4716668906432,0.0,0.0,0.0,1.0
2026-07-15T11:23:05.461,2,random,1,2,-51.975697187942494,-30.00122808975842,24.485335380394346,11.234270272784343,-13.803885237371228,2.9791308109137162,211.473099,-542.524048,77.267456,-165.8693336338699,-13.49212475129965,-177.10939047562832,708.8982540781955,-557.5183190606438,199.64902044684928,-112.10253733442534,87.68815739238539,-109.51622412646014,0.18374947985092122,0.45019974299523696,24,24,10,-0.9711647484478348,-0.1057902071515247,-0.2136526701052228,211.473099,-0.049037507904460376,0.9656352050253266,-0.25523317502671045,-542.524048,0.23331171035928236,-0.23739646772126355,-0.9429785591002022,77.267456,0.0,0.0,0.0,1.0,0.2019146897944534,0.9776380374126795,-0.05877351315936244,-0.09065465732183592,-0.9547943853276021,0.20985419158573398,0.21054429467640268,0.11585236845246055,0.21816997912658667,0.013604634422959441,0.9758159530004223,0.6337934417999439,0.0,0.0,0.0,1.0,-0.01347597378966781,-0.0453762807649343,0.9988790673922253,708.8982540781955,-0.03802075751161215,0.9982705956766943,0.04483569789287469,-557.5183190606438,-0.9991860788304961,-0.03737393411509888,-0.015177908950077588,199.64902044684928,0.0,0.0,0.0,1.0
2026-07-15T11:23:10.698,3,random,1,3,-51.975697187942494,-30.00122808975842,24.485335380394346,-1.2733929125985668,-0.32498452882851403,13.20191364531054,211.488495,-542.497864,77.351486,-178.36909548400294,-0.05059217331005169,-166.89785017190923,708.2069616525775,-557.8237048514102,201.981723505044,-131.8310779184587,86.85355770286543,-129.8998430346361,0.27597091669525287,0.6763267457713152,24,24,10,-0.9739670825827724,-0.22662049987804975,0.005592055098595408,211.488495,-0.22668776402004037,0.9735672200555487,-0.027919987050587267,-542.497864,0.0008829998852557733,-0.028460798799986725,-0.9995945194141819,77.351486,0.0,0.0,0.0,1.0,-0.004598630022721165,0.9811396686860449,-0.19324544789606682,-0.1255343995982125,-0.999066419662227,-0.012808836979861567,-0.041258002842123054,0.019374128051208035,-0.042955112678369455,0.19287530745499978,0.9802825990850436,0.6602032067508496,0.0,0.0,0.0,1.0,-0.035207887476954976,-0.03442053394147402,0.9987870801640328,708.2069616525775,-0.04210839539321925,0.9985702693479358,0.03292871409269413,-557.8237048514102,-0.9984925075817127,-0.04089797082465005,-0.036606943133888056,201.981723505044,0.0,0.0,0.0,1.0
2026-07-15T11:23:14.435,4,random,1,4,-51.975697187942494,-30.00122808975842,24.485335380394346,11.16019445412024,1.070227757958655,12.467866516262866,211.486008,-542.50116,77.309082,-165.96094958531128,1.3588840027117735,-167.63530415002208,708.5787875189956,-555.4785033142608,202.08060360108632,-130.7071361924646,86.71395848582442,-128.5172604582891,0.27939250042115554,0.618121290243961,22,22,10,-0.9765296957191626,-0.20211808605220113,0.07441795931920393,211.486008,-0.21407326490950096,0.9488597305156028,-0.23202984518558042,-542.50116,-0.023714776609242882,-0.24251492963620366,-0.9698577824990222,77.309082,0.0,0.0,0.0,1.0,0.20677571732176547,0.9656593137594727,-0.15730827211451423,-0.13754407644841563,-0.9760129900051152,0.1923930095687213,-0.10189981948151387,-0.02099312994518416,-0.06813549785056608,0.17460532528727377,0.9822782367099359,0.6656066872367075,0.0,0.0,0.0,1.0,-0.0356965542256183,-0.03898742226120403,0.9986018911066831,708.5787875189956,-0.04484898003600654,0.9982944885035455,0.03737222515685616,-555.4785033142608,-0.9983558108240504,-0.043452216616318345,-0.03738421946465049,202.08060360108632,0.0,0.0,0.0,1.0
2026-07-15T11:23:20.370,5,random,1,5,-51.975697187942494,-30.00122808975842,24.485335380394346,-8.352351056276708,14.385363401668165,5.8235893381566655,211.486038,-542.500732,77.309189,174.5270696929737,14.673907499536488,-174.27949462969767,700.7079771983261,-558.7303349453401,201.30061444731845,-140.548972754116,86.07697643093354,-139.67030308870338,0.11912703511551503,0.21175446836766723,11,11,10,-0.9625656077821992,-0.1232614219451551,0.24140023317085613,211.486038,-0.09642475384638381,0.9880758380008758,0.12003501657654395,-542.500732,-0.25331742451033556,0.09226462062418793,-0.9629732718100358,77.309189,0.0,0.0,0.0,1.0,-0.12936957463627458,0.985026681929515,-0.11395590833896896,-0.059398248573441434,-0.9428115439723813,-0.15779260605721024,-0.29361179476664206,-0.09874974089680534,-0.30719685172677746,0.06945451288868468,0.9491080891703285,0.680752466331474,0.0,0.0,0.0,1.0,-0.0521559200139487,-0.016470092161789303,0.9985031277225329,700.7079771983261,-0.04427793237141103,0.998918836593273,0.014164130896565793,-558.7303349453401,-0.9976568672205947,-0.04347291068383329,-0.05282879256867616,201.30061444731845,0.0,0.0,0.0,1.0
2026-07-15T11:23:38.618,6,random,2,1,-47.72384306355804,27.968590017589456,-85.46715304834245,9.723917595357083,-4.94969224325788,-9.666778404118396,215.73735,-484.531738,-32.643074,-167.3969537072477,-4.661011663389247,170.23005811683106,706.7685952641618,-556.9116426312761,200.60168974279173,-104.757211750076,87.3294107290373,-103.95722404943683,0.31184885576711635,0.5822883404281284,22,24,10,-0.9822379326668881,0.14813034785349427,-0.11517831252054678,215.73735,0.16913132997718922,0.964760415964518,-0.2015736416501851,-484.531738,0.08126030304167645,-0.21747353823574236,-0.9726777592382804,-32.643074,0.0,0.0,0.0,1.0,0.17194800984315292,0.9713759893950358,0.163898044948059,-0.042317201777731836,-0.9820305344953181,0.1558855450886296,0.10637540200281827,0.16683826341697047,0.07778117529209333,-0.1792439233537299,0.9807250913028294,0.6555976845724043,0.0,0.0,0.0,1.0,-0.01123828047673289,-0.014215283482797086,0.999835799902879,706.7685952641618,-0.045218071173688416,0.9988832837379849,0.013693484149523044,-556.9116426312761,-0.9989139237648348,-0.04505675514643416,-0.011868518206446632,200.60168974279173,0.0,0.0,0.0,1.0
2026-07-15T11:23:42.486,7,random,2,2,-47.72384306355804,27.968590017589456,-85.46715304834245,-2.1973210601194815,-0.5278257766916887,-11.123502676031803,215.737976,-484.531189,-32.643253,-179.3179135927396,-0.2392098794671187,168.77337021849044,710.7147400582672,-558.7104853054308,199.31197285410138,-134.4802597692242,86.86949348707381,-132.51572802783926,0.45445843752960274,0.8869603216199534,24,24,10,-0.9808562251396226,0.19462771073596594,-0.006412473666783598,215.737976,0.19468855919423037,0.9808049462566625,-0.010863807681474973,-484.531189,0.004174987871200675,-0.011904268652151419,-0.999920425766037,-32.643253,0.0,0.0,0.0,1.0,-0.03477657082376433,0.9731105363321177,0.22769820860331294,0.026319516406114074,-0.9991022342714077,-0.02833656604358095,-0.0314922926878785,0.13230492405087457,-0.02419329650173654,-0.22858898290222962,0.9732223596383837,0.6789744903911613,0.0,0.0,0.0,1.0,-0.03690534661474351,-0.03500035838218011,0.9987056474779569,710.7147400582672,-0.040252929166967794,0.9986274440140736,0.033510144067094905,-558.7104853054308,-0.9985077351151189,-0.03896412420467463,-0.03826355890711136,199.31197285410138,0.0,0.0,0.0,1.0
2026-07-15T11:23:47.623,8,random,2,3,-47.72384306355804,27.968590017589456,-85.46715304834245,-7.937284750023599,2.9522135326343886,7.083686039147558,215.737808,-484.530731,-32.64365,174.94189113664842,3.2409930639370144,-173.0195031424255,712.9948976313585,-557.8249999875126,200.71115760259238,-140.48036327280136,86.54222535720761,-138.05463629276628,0.2563189026949194,0.4864137460853069,24,24,10,-0.9910000037519394,-0.12600580376082351,0.04518329317618328,215.737808,-0.12133709849731172,0.9881164578708104,0.09435663311657974,-484.530731,-0.05653583900420835,0.08802501407799944,-0.994512592079486,-32.64365,0.0,0.0,0.0,1.0,-0.1220475703308569,0.9885292044539757,-0.08896292777288863,-0.1090394924845515,-0.9868712538592418,-0.1304168190114791,-0.09527109543410468,0.1145223821667172,-0.10578052222702237,0.0761673503577283,0.9914681113666045,0.6770813735884068,0.0,0.0,0.0,1.0,-0.044859702536996136,-0.04318591108948557,0.9980594091393875,712.9948976313585,-0.04031446569792639,0.998329593243245,0.0413855906115603,-557.8249999875126,-0.9981795183952543,-0.038379686530090565,-0.046525785518023166,200.71115760259238,0.0,0.0,0.0,1.0
2026-07-15T11:23:54.498,9,random,2,4,-47.72384306355804,27.968590017589456,-85.46715304834245,4.087026312346126,-11.838557623581387,-14.8310766659589,215.725693,-484.543335,-32.672604,-172.99881936602125,-11.51375878049243,165.07613086229077,704.2043506770319,-557.8255640525169,198.9003130191886,-115.62246597135129,87.46925328448951,-114.66175644380372,0.46789532968855524,0.92818324264818,22,22,10,-0.9468244543028743,0.23210614812220104,-0.22282322306693989,215.725693,0.252352923035094,0.9653297587190744,-0.06675671626898315,-484.543335,0.19960324388573522,-0.11943698311347484,-0.9725704869545668,-32.672604,0.0,0.0,0.0,1.0,0.07630739201506898,0.9652009167468949,0.25012871133640885,0.020479012604098158,-0.9784060926000627,0.02415487047451203,0.2052755713557697,0.22717329260143304,0.192090343034044,-0.26039149860030675,0.9462016526986994,0.614773817768474,0.0,0.0,0.0,1.0,-0.018424349967547802,-0.017133705525308726,0.9996834396263876,704.2043506770319,-0.04012794114861352,0.9990602237187666,0.016383458797885338,-557.8255640525169,-0.9990246701996138,-0.039813383653999654,-0.019094575527428412,198.9003130191886,0.0,0.0,0.0,1.0
